"filename", "language", "XML", "C#", "Markdown", "JavaScript", "ASP.NET Razor", "MS SQL", "JSON", "PostCSS", "comment", "blank", "total"
"d:\.net\start\Controllers\AccountController.cs", "C#", 0, 346, 0, 0, 0, 0, 0, 0, 18, 82, 446
"d:\.net\start\Controllers\AdminController.cs", "C#", 0, 1155, 0, 0, 0, 0, 0, 0, 124, 203, 1482
"d:\.net\start\Controllers\AiController.cs", "C#", 0, 685, 0, 0, 0, 0, 0, 0, 70, 121, 876
"d:\.net\start\Controllers\BranchController.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 0, 5, 44
"d:\.net\start\Controllers\CartController.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 1, 23, 90
"d:\.net\start\Controllers\ContactController.cs", "C#", 0, 116, 0, 0, 0, 0, 0, 0, 0, 20, 136
"d:\.net\start\Controllers\EmployeeController.cs", "C#", 0, 216, 0, 0, 0, 0, 0, 0, 17, 48, 281
"d:\.net\start\Controllers\HomeController.cs", "C#", 0, 92, 0, 0, 0, 0, 0, 0, 0, 20, 112
"d:\.net\start\Controllers\OrderController.cs", "C#", 0, 199, 0, 0, 0, 0, 0, 0, 11, 40, 250
"d:\.net\start\Controllers\ProductController.cs", "C#", 0, 64, 0, 0, 0, 0, 0, 0, 10, 11, 85
"d:\.net\start\Controllers\WishlistController.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 1, 6, 46
"d:\.net\start\DTOs\Account\ChangePasswordModel.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 9, 21
"d:\.net\start\DTOs\Account\EditProfileModel.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 12, 35
"d:\.net\start\DTOs\Account\ResetPasswordViewModel.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\.net\start\DTOs\Account\SetPasswordModel.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"d:\.net\start\DTOs\Account\UserProfileViewModel.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\.net\start\DTOs\Account\VerifyEmailViewModel.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\.net\start\DTOs\Cart\AddToCartRequest.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\.net\start\DTOs\Cart\UpdateCartRequest.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\.net\start\DTOs\Employee\DayOffOneDayVm.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\.net\start\DTOs\Employee\EditEmployeeProfile.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\.net\start\DTOs\Employee\MonthScheduleDto.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\.net\start\DTOs\Employee\MonthlySalaryVm.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\.net\start\DTOs\Order\MomoRefundResponse.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\.net\start\DTOs\Order\OrderDetailItemViewModel.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\.net\start\DTOs\Order\OrderFormModel.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\.net\start\DTOs\Order\OrderHistoryViewModel.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\.net\start\DTOs\Order\OrderSummaryViewModel.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 4, 24
"d:\.net\start\DTOs\Product\ProductFilterRequest.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"d:\.net\start\DTOs\Promotion\PromoCodeResponse.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\.net\start\DTOs\Promotion\PromoValidationRequest.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\.net\start\DTOs\Promotion\PromoValidationResult.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 3, 2, 17
"d:\.net\start\DTOs\Support\ContactFormModel.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\.net\start\Data\ApplicationDbContext.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 9, 44
"d:\.net\start\Models\Configurations\EmailSettings.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\.net\start\Models\Core\Branch.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"d:\.net\start\Models\Core\Customer.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 0, 0, 16, 50
"d:\.net\start\Models\Core\Discount.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 0, 2, 11, 47
"d:\.net\start\Models\Core\DiscountRequest.cs", "C#", 0, 58, 0, 0, 0, 0, 0, 0, 5, 22, 85
"d:\.net\start\Models\Core\News.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\.net\start\Models\Core\NewsRequest.cs", "C#", 0, 41, 0, 0, 0, 0, 0, 0, 5, 18, 64
"d:\.net\start\Models\Core\Region.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 1, 3, 19
"d:\.net\start\Models\Employee\Contract.cs", "C#", 0, 46, 0, 0, 0, 0, 0, 0, 5, 14, 65
"d:\.net\start\Models\Employee\DayOffRequest.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 33
"d:\.net\start\Models\Employee\Employee.cs", "C#", 0, 73, 0, 0, 0, 0, 0, 0, 0, 25, 98
"d:\.net\start\Models\Employee\Salary.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 0, 13, 52
"d:\.net\start\Models\Employee\SalaryAdjustment.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\.net\start\Models\Employee\WorkSchedule.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\.net\start\Models\Products\Product.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\.net\start\Models\Products\ProductCategory.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"d:\.net\start\Models\Products\ProductSize.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\.net\start\Models\Products\Wishlist.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 0, 15, 31
"d:\.net\start\Models\Sales\Cart.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\.net\start\Models\Sales\CartDetail.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\.net\start\Models\Sales\Order.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\.net\start\Models\Sales\OrderDetail.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\.net\start\Models\System\ChatHistory.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 1, 18, 41
"d:\.net\start\Models\System\ErrorViewModel.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\.net\start\Models\System\Role.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\.net\start\Program.cs", "C#", 0, 146, 0, 0, 0, 0, 0, 0, 7, 21, 174
"d:\.net\start\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"d:\.net\start\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\.net\start\SQL\Check_EmployeeID_DataType.sql", "MS SQL", 0, 0, 0, 0, 0, 9, 0, 0, 2, 6, 17
"d:\.net\start\SQL\DiscountRequest_CreateTable.sql", "MS SQL", 0, 0, 0, 0, 0, 47, 0, 0, 9, 16, 72
"d:\.net\start\SQL\DiscountRequest_InsertSampleData.sql", "MS SQL", 0, 0, 0, 0, 0, 222, 0, 0, 15, 13, 250
"d:\.net\start\SQL\DiscountRequest_InsertTemplate.sql", "MS SQL", 0, 0, 0, 0, 0, 62, 0, 0, 19, 8, 89
"d:\.net\start\Scripts\CreateChatHistoryTable.sql", "MS SQL", 0, 0, 0, 0, 0, 22, 0, 0, 2, 16, 40
"d:\.net\start\Services\Employee\DayOffService.cs", "C#", 0, 77, 0, 0, 0, 0, 0, 0, 4, 13, 94
"d:\.net\start\Services\Employee\EmployeeProfileService.cs", "C#", 0, 67, 0, 0, 0, 0, 0, 0, 8, 22, 97
"d:\.net\start\Services\Employee\IDayOffService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\.net\start\Services\Employee\IEmployeeProfileService.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\.net\start\Services\Employee\IPayrollService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\.net\start\Services\Employee\IScheduleService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\.net\start\Services\Employee\PayrollServive.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 0, 3, 11, 68
"d:\.net\start\Services\Employee\ScheduleService.cs", "C#", 0, 40, 0, 0, 0, 0, 0, 0, 1, 8, 49
"d:\.net\start\Services\Implementations\Account\AuthService.cs", "C#", 0, 238, 0, 0, 0, 0, 0, 0, 9, 78, 325
"d:\.net\start\Services\Implementations\Account\ProfileService.cs", "C#", 0, 69, 0, 0, 0, 0, 0, 0, 6, 19, 94
"d:\.net\start\Services\Implementations\ECommerce\CartService.cs", "C#", 0, 109, 0, 0, 0, 0, 0, 0, 0, 23, 132
"d:\.net\start\Services\Implementations\ECommerce\CheckoutService.cs", "C#", 0, 62, 0, 0, 0, 0, 0, 0, 1, 17, 80
"d:\.net\start\Services\Implementations\ECommerce\OrderReadService.cs", "C#", 0, 75, 0, 0, 0, 0, 0, 0, 2, 12, 89
"d:\.net\start\Services\Implementations\ECommerce\OrderService.cs", "C#", 0, 488, 0, 0, 0, 0, 0, 0, 36, 92, 616
"d:\.net\start\Services\Implementations\ECommerce\PaymentService.cs", "C#", 0, 102, 0, 0, 0, 0, 0, 0, 3, 25, 130
"d:\.net\start\Services\Implementations\ECommerce\ProductService.cs", "C#", 0, 104, 0, 0, 0, 0, 0, 0, 7, 16, 127
"d:\.net\start\Services\Implementations\Utility\AiService.cs", "C#", 0, 63, 0, 0, 0, 0, 0, 0, 3, 13, 79
"d:\.net\start\Services\Implementations\Utility\CloudinaryService.cs", "C#", 0, 57, 0, 0, 0, 0, 0, 0, 0, 11, 68
"d:\.net\start\Services\Implementations\Utility\EmailService.cs", "C#", 0, 78, 0, 0, 0, 0, 0, 0, 4, 14, 96
"d:\.net\start\Services\Implementations\Utility\NewsService.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"d:\.net\start\Services\Implementations\Utility\StoreService.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 9, 53
"d:\.net\start\Services\Interfaces\IAuthService.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 7, 7, 29
"d:\.net\start\Services\Interfaces\ICartService.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\.net\start\Services\Interfaces\ICheckoutService.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\.net\start\Services\Interfaces\ICloudinaryService.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\.net\start\Services\Interfaces\IEmailService.cs", "C#", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\.net\start\Services\Interfaces\INewsService.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
